"newspaper","date","total_news","epu_news","epu_cat2_news","epu_cat3_news","epu_cat4_news","epu_cat5_news","epu_cat6_news","epu_cat7_news","epu_cat8_news","epu_cat9_news","epu_cat10_news","epu_cat11_news","epu_cat12_news","epu_cat13_news","epu_cat14_news"
"el_pais","09-2015",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","10-2015",28,3,2,0,1,1,0,0,0,0,3,1,0,1,2
"el_pais","11-2015",54,7,0,0,0,4,0,0,0,0,7,4,0,4,0
"el_pais","12-2015",81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","01-2016",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","02-2016",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","03-2016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","04-2016",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","05-2016",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","06-2016",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","07-2016",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","08-2016",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","09-2016",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","10-2016",41,2,0,0,2,0,0,0,0,0,2,0,0,0,0
"el_pais","11-2016",54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","12-2016",102,9,0,0,0,9,4,2,0,0,9,6,6,6,0
"el_pais","01-2017",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","02-2017",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","03-2017",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","04-2017",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","05-2017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","06-2017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","07-2017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","08-2017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","09-2017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","10-2017",21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","11-2017",38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","12-2017",82,10,6,0,0,2,0,4,2,0,10,10,6,10,8
"el_pais","01-2018",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","02-2018",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","03-2018",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","04-2018",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","05-2018",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"el_pais","06-2018",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
